entity,n-revs
include/media/i2c/adp1653.h,17
drivers/net/wireless/realtek/rtlwifi/rtl8192ce/rf.c,17
Documentation/virt/kvm/x86/cpuid.rst,17
drivers/clk/clk-clps711x.c,17
"Documentation/devicetree/bindings/display/ti/ti,tpd12s015.txt",17
arch/arm/boot/dts/nvidia/tegra124-nyan-big-fhd.dts,17
arch/csky/include/asm/atomic.h,17
arch/powerpc/include/asm/qspinlock.h,17
drivers/gpu/drm/bridge/aux-bridge.c,17
drivers/regulator/max8907-regulator.c,17
drivers/net/ethernet/mellanox/mlx5/core/esw/bridge_mcast.c,17
Documentation/driver-api/media/v4l2-dev.rst,17
drivers/gpu/drm/i915/display/intel_alpm.h,17
scripts/faddr2line,17
lib/crypto/mpi/generic_mpih-rshift.c,17
include/uapi/linux/sound.h,17
arch/sparc/lib/U1copy_to_user.S,17
scripts/kconfig/tests/err_recursive_inc/expected_stderr,17
drivers/gpu/drm/sun4i/sun8i_tcon_top.h,17
arch/arm64/boot/dts/qcom/qcs404.dtsi,17
drivers/md/dm-vdo/io-submitter.c,17
include/sound/wm2200.h,17
drivers/input/serio/serio_raw.c,17
drivers/iommu/iommufd/io_pagetable.h,17
include/net/sctp/constants.h,17
include/media/tuner.h,17
fs/xfs/xfs_icreate_item.h,17
tools/testing/selftests/bpf/test_progs.h,17
include/dt-bindings/display/sdtv-standards.h,17
scripts/check-uapi.sh,17
arch/powerpc/include/asm/book3s/64/slice.h,17
scripts/dtc/.gitignore,17
"Documentation/devicetree/bindings/phy/hisilicon,hi3798cv200-combphy.yaml",17
Documentation/arch/arc/index.rst,17
drivers/mtd/ubi/block.c,17
Documentation/translations/zh_TW/process/development-process.rst,17
include/linux/platform_data/bh1770glc.h,17
tools/testing/selftests/bpf/progs/verifier_btf_unreliable_prog.c,17
include/linux/perf_event_api.h,17
"Documentation/devicetree/bindings/display/panel/leadtek,ltk035c5444t.yaml",17
drivers/gpu/drm/msm/adreno/a6xx_gmu.h,17
arch/arm64/boot/dts/sprd/ums9620-2h10.dts,17
drivers/net/wireless/mediatek/mt7601u/dma.h,17
drivers/clk/mxs/clk-frac.c,17
drivers/net/wireless/intel/iwlwifi/iwl-io.h,17
drivers/media/rc/keymaps/rc-asus-ps3-100.c,17
Documentation/devicetree/bindings/net/ezchip_enet.txt,17
drivers/gpu/drm/panfrost/panfrost_dump.h,17
drivers/mfd/tps6586x.c,17
arch/alpha/kernel/pci_impl.h,17
tools/perf/pmu-events/arch/riscv/thead/c900-legacy/microarch.json,17
drivers/gpu/drm/amd/amdgpu/gfxhub_v3_0.h,17
include/uapi/sound/hdspm.h,17
drivers/crypto/intel/qat/qat_common/adf_sysfs_ras_counters.c,17
include/linux/iio/adc/ad_sigma_delta.h,17
fs/f2fs/xattr.h,17
sound/pci/ctxfi/cthardware.h,17
"Documentation/devicetree/bindings/iio/adc/maxim,max9611.yaml",17
"Documentation/devicetree/bindings/display/tegra/nvidia,tegra20-mpe.yaml",17
drivers/net/ethernet/pensando/Makefile,17
tools/testing/selftests/bpf/progs/btf_dump_test_case_bitfields.c,17
drivers/media/pci/cx18/cx18-controls.h,17
drivers/usb/gadget/udc/aspeed-vhub/epn.c,17
"include/dt-bindings/clock/qcom,mmcc-msm8996.h",17
drivers/rpmsg/rpmsg_ctrl.c,17
drivers/cpufreq/powernow-k6.c,17
include/linux/platform_data/sgi-w1.h,17
arch/arm/mach-tegra/iomap.h,17
drivers/net/wireless/realtek/rtlwifi/core.h,17
drivers/gpu/drm/amd/amdgpu/nbio_v7_2.c,17
tools/perf/pmu-events/arch/arm64/arm/neoverse-v1/l1i_cache.json,17
arch/xtensa/include/asm/seccomp.h,17
"Documentation/devicetree/bindings/sound/qcom,wcd937x.yaml",17
io_uring/poll.c,17
sound/firewire/fireworks/fireworks_command.c,17
lib/lz4/lz4_decompress.c,17
arch/arm/boot/dts/allwinner/sun8i-a33-inet-d978-rev2.dts,17
arch/arm64/boot/dts/cavium/thunder-88xx.dtsi,17
include/drm/drm_edid.h,17
include/scsi/iser.h,17
include/linux/dsa/lan9303.h,17
net/mac80211/mlme.c,17
drivers/phy/xilinx/Makefile,17
arch/powerpc/boot/zImage.coff.lds.S,17
security/apparmor/policy_unpack_test.c,17
arch/x86/realmode/rm/wakeup.h,17
tools/build/feature/test-sched_getcpu.c,17
drivers/clk/mediatek/clk-mt2712-vdec.c,17
drivers/net/wireless/zydas/zd1211rw/zd_usb.h,17
drivers/acpi/nvs.c,17
include/uapi/linux/nfc.h,17
"include/dt-bindings/iio/qcom,spmi-vadc.h",17
drivers/gpu/drm/drm_gem_framebuffer_helper.c,17
net/devlink/sb.c,17
arch/arm/mm/flush.c,17
arch/arm/boot/dts/microchip/sama5d3xmb_gmac.dtsi,17
arch/powerpc/include/asm/cputable.h,17
drivers/net/bonding/bond_netlink.c,17
drivers/s390/net/qeth_l3.h,17
arch/mips/kernel/smp-bmips.c,17
fs/sysfs/sysfs.h,17
drivers/net/ethernet/marvell/mvpp2/mvpp2_prs.h,17
drivers/gpu/drm/amd/amdgpu/gmc_v10_0.h,17
samples/bpf/cpustat_user.c,17
tools/testing/selftests/powerpc/benchmarks/null_syscall.c,17
Documentation/process/maintainer-netdev.rst,17
drivers/crypto/intel/qat/qat_common/adf_admin.c,17
drivers/leds/leds-cros_ec.c,17
security/selinux/include/security.h,17
arch/arm/mm/abort-ev4t.S,17
arch/csky/kernel/asm-offsets.c,17
tools/perf/trace/beauty/arch_prctl.c,17
Documentation/scsi/bfa.rst,17
